www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Mon Aug 07 2023 09:15:00 GMT+0530 (India Standard Time),150.45,172.2,137.6,155,60347,165255
Mon Aug 07 2023 09:30:00 GMT+0530 (India Standard Time),150.9,176.3,135.3,172.8,71670,176565
Mon Aug 07 2023 09:45:00 GMT+0530 (India Standard Time),175,185.7,150.2,156.6,31965,177165
Mon Aug 07 2023 10:00:00 GMT+0530 (India Standard Time),159.3,165.95,144.9,160.9,25470,175110
Mon Aug 07 2023 10:15:00 GMT+0530 (India Standard Time),162.85,172.75,151.2,166.85,12015,175215
Mon Aug 07 2023 10:30:00 GMT+0530 (India Standard Time),166.3,170.2,154.6,157.5,42240,175440
Mon Aug 07 2023 10:45:00 GMT+0530 (India Standard Time),158.45,158.85,127.6,132.55,55440,182355
Mon Aug 07 2023 11:00:00 GMT+0530 (India Standard Time),132.85,137.6,128.35,133.4,28935,178005
Mon Aug 07 2023 11:15:00 GMT+0530 (India Standard Time),132.35,150.55,132.05,148.1,14370,179610
Mon Aug 07 2023 11:30:00 GMT+0530 (India Standard Time),148.5,148.5,130.05,144.85,9555,180885
Mon Aug 07 2023 11:45:00 GMT+0530 (India Standard Time),141.9,148.1,135.2,140.8,7680,180600
Mon Aug 07 2023 12:00:00 GMT+0530 (India Standard Time),141.45,145.05,132.45,137.6,9135,180705
Mon Aug 07 2023 12:15:00 GMT+0530 (India Standard Time),136.7,148.65,133,148.65,8130,180630
Mon Aug 07 2023 12:30:00 GMT+0530 (India Standard Time),151.6,156.4,139.7,144,15375,178305
Mon Aug 07 2023 12:45:00 GMT+0530 (India Standard Time),146.5,149.5,135,135,25155,188985
Mon Aug 07 2023 13:00:00 GMT+0530 (India Standard Time),135.5,142.65,132,142.6,19395,195540
Mon Aug 07 2023 13:15:00 GMT+0530 (India Standard Time),141,165.4,138.75,165.4,14400,194610
Mon Aug 07 2023 13:30:00 GMT+0530 (India Standard Time),165.65,170.5,154.05,163.55,20190,192330
Mon Aug 07 2023 13:45:00 GMT+0530 (India Standard Time),162.75,164,140.3,145,22980,195885
Mon Aug 07 2023 14:00:00 GMT+0530 (India Standard Time),143,147.75,125.1,131.4,21615,199710
Mon Aug 07 2023 14:15:00 GMT+0530 (India Standard Time),132.35,138.95,120.65,136.15,26445,201345
Mon Aug 07 2023 14:30:00 GMT+0530 (India Standard Time),136,141.75,126.05,136,20835,202950
Mon Aug 07 2023 14:45:00 GMT+0530 (India Standard Time),134,137.4,122.4,130.75,33705,203415
Mon Aug 07 2023 15:00:00 GMT+0530 (India Standard Time),131.05,132.5,120.9,128.95,27960,203445
Mon Aug 07 2023 15:15:00 GMT+0530 (India Standard Time),128.75,130,124,124.05,68610,210675
Tue Aug 08 2023 09:15:00 GMT+0530 (India Standard Time),127.5,134.6,116.5,129.15,67113,217335
Tue Aug 08 2023 09:30:00 GMT+0530 (India Standard Time),129.85,131.85,120.4,123.1,62010,215370
Tue Aug 08 2023 09:45:00 GMT+0530 (India Standard Time),124,126,114.8,125.4,24240,220095
Tue Aug 08 2023 10:00:00 GMT+0530 (India Standard Time),125.9,138.55,123.75,132.95,20400,220890
Tue Aug 08 2023 10:15:00 GMT+0530 (India Standard Time),133.6,165.15,131.5,161.05,66975,225465
